Game    Out     In      Left    Right
1       0.2     0.8     0.41    0.59
2       0.04    0.96    0.98    0.02
3       0.46    0.54    0.85    0.15
4       0.92    0.08    0.91    0.09
5       0       1       0.66    0.34
6       0.4     0.6     0.67    0.33
7       0.21    0.79    0.66    0.34
8       0.42    0.58    0.47    0.53
9       0.19    0.81    1       0
10      0.2     0.8     1       0
11      0.42    0.58    0.42    0.58
12      0.87    0.13    0.87    0.13
13      0.07    0.93    0.99    0.01
14      0.08    0.92    0.99    0.01
15      0       1       0.87    0.13
16      0.44    0.56    1       0
17      0.43    0.57    0.9     0.1
18      0.11    0.89    0.97    0.03
19      0.57    0.43    0.52    0.48
20      0.58    0.42    1       0
