Round	Out	Left	Right	Game Type
1	108	392	0	10
2	89	411	0	10
3	97	403	0	10
4	92	408	0	10
5	101	399	0	10
6	98	402	0	10
7	117	383	0	10
8	107	393	0	10
9	93	407	0	10
10	90	410	0	10
11	104	396	0	10
12	100	400	0	10
13	91	409	0	10
14	86	414	0	10
15	87	413	0	10
16	90	410	0	10
17	103	397	0	10
18	102	398	0	10
19	94	406	0	10
20	93	407	0	10
21	87	413	0	10
22	96	404	0	10
23	78	422	0	10
24	89	411	0	10
25	82	418	0	10
26	90	410	0	10
27	98	402	0	10
28	97	403	0	10
29	103	397	0	10
30	113	387	0	10
31	90	410	0	10
32	103	397	0	10
33	92	408	0	10
34	98	402	0	10
35	92	408	0	10
36	97	403	0	10
37	89	411	0	10
38	96	404	0	10
39	94	406	0	10
40	94	406	0	10
41	81	419	0	10
42	94	406	0	10
43	94	406	0	10
44	105	395	0	10
45	92	408	0	10
46	103	397	0	10
47	95	405	0	10
48	93	407	0	10
49	97	403	0	10
50	103	397	0	10
51	88	412	0	10
52	91	409	0	10
53	91	409	0	10
54	109	391	0	10
55	100	400	0	10
56	87	413	0	10
57	105	395	0	10
58	110	390	0	10
59	91	409	0	10
60	89	411	0	10
61	102	398	0	10
62	115	385	0	10
63	101	399	0	10
64	95	405	0	10
65	78	422	0	10
66	95	405	0	10
67	81	419	0	10
68	89	411	0	10
69	117	383	0	10
70	100	400	0	10
71	91	409	0	10
72	85	415	0	10
73	100	400	0	10
74	93	407	0	10
75	87	413	0	10
76	82	418	0	10
77	94	406	0	10
78	96	404	0	10
79	100	400	0	10
80	92	408	0	10
81	103	397	0	10
82	91	409	0	10
83	82	418	0	10
84	99	401	0	10
85	93	407	0	10
86	105	395	0	10
87	104	396	0	10
88	101	399	0	10
89	96	404	0	10
90	88	412	0	10
91	102	398	0	10
92	86	414	0	10
93	93	407	0	10
94	99	401	0	10
95	108	392	0	10
96	86	414	0	10
97	98	402	0	10
98	99	401	0	10
99	94	406	0	10
100	85	415	0	10
101	110	390	0	10
102	93	407	0	10
103	92	408	0	10
104	101	399	0	10
105	95	405	0	10
106	85	415	0	10
107	90	410	0	10
108	97	403	0	10
109	92	408	0	10
110	105	395	0	10
111	83	417	0	10
112	84	416	0	10
113	87	413	0	10
114	98	402	0	10
115	106	394	0	10
116	98	402	0	10
117	89	411	0	10
118	104	396	0	10
119	104	396	0	10
120	102	398	0	10
121	86	414	0	10
122	93	407	0	10
123	92	408	0	10
124	102	398	0	10
125	90	410	0	10
126	85	415	0	10
127	102	398	0	10
128	112	388	0	10
129	98	402	0	10
130	98	402	0	10
131	93	407	0	10
132	90	410	0	10
133	83	417	0	10
134	87	413	0	10
135	104	396	0	10
136	96	404	0	10
137	109	391	0	10
138	101	399	0	10
139	99	401	0	10
140	97	403	0	10
141	89	411	0	10
142	101	399	0	10
143	99	401	0	10
144	84	416	0	10
145	93	407	0	10
146	102	398	0	10
147	94	406	0	10
148	99	401	0	10
149	95	405	0	10
150	97	403	0	10
151	98	402	0	10
152	97	403	0	10
153	86	414	0	10
154	92	408	0	10
155	107	393	0	10
156	98	402	0	10
157	93	407	0	10
158	100	400	0	10
159	88	412	0	10
160	90	410	0	10
161	104	396	0	10
162	100	400	0	10
163	94	406	0	10
164	103	397	0	10
165	86	414	0	10
166	85	415	0	10
167	89	411	0	10
168	79	421	0	10
169	101	399	0	10
170	94	406	0	10
171	107	393	0	10
172	94	406	0	10
173	90	410	0	10
174	92	408	0	10
175	84	416	0	10
176	98	402	0	10
177	105	395	0	10
178	98	402	0	10
179	94	406	0	10
180	97	403	0	10
181	113	387	0	10
182	94	406	0	10
183	97	403	0	10
184	99	401	0	10
185	94	406	0	10
186	96	404	0	10
187	92	408	0	10
188	92	408	0	10
189	97	403	0	10
190	97	403	0	10
