Game    Out     In      Left    Right
1       0.21    0.79    0.42    0.58
2       0.05    0.95    1       0
3       0.49    0.51    0.98    0.02
4       0.9     0.1     0.99    0.01
5       0       1       0.68    0.32
6       0.39    0.61    0.65    0.35
7       0.2     0.8     0.65    0.35
8       0.4     0.6     0.45    0.55
9       0.2     0.8     1       0
10      0.19    0.81    1       0
11      0.47    0.53    0.47    0.53
12      0.86    0.14    0.86    0.14
13      0.08    0.92    1       0
14      0.09    0.91    1       0
15      0       1       0.85    0.15
16      0.44    0.56    1       0
17      0.41    0.59    0.7     0.3
18      0.12    0.88    0.9     0.1
19      0.58    0.42    0.39    0.61
20      0.58    0.42    1       0
