Game	Out1	In1	Left1	Right1	Out1h	In1h	Left1h	Right1h	Out1k	In1k	Left1k	Right1k	OutCR	InCR	LeftCR	RightCR
1	0.21	0.79	0.36	0.64	0.2	0.8	0.41	0.59	0.21	0.79	0.42	0.58	0.47	0.53	0.06	0.94
2	0.03	0.97	0.77	0.23	0.04	0.96	0.98	0.02	0.05	0.95	1	0	0.39	0.61	0.33	0.67
3	0.48	0.52	0.4	0.6	0.46	0.54	0.85	0.15	0.49	0.51	0.98	0.02	0.5	0.5	0.34	0.66
4	0.87	0.13	0.38	0.62	0.92	0.08	0.91	0.09	0.9	0.1	0.99	0.01	0.85	0.15	0.35	0.65
5	0	1	0.68	0.32	0	1	0.66	0.34	0	1	0.68	0.32	0.74	0.26	0.62	0.38
6	0.42	0.58	0.67	0.33	0.4	0.6	0.67	0.33	0.39	0.61	0.65	0.35	0.83	0.17	0.62	0.38
7	0.23	0.77	0.68	0.32	0.21	0.79	0.66	0.34	0.2	0.8	0.65	0.35	0.47	0.53	0.61	0.39
8	0.41	0.59	0.47	0.53	0.42	0.58	0.47	0.53	0.4	0.6	0.45	0.55	0.92	0.08	0.75	0.25
9	0.19	0.81	1	0	0.19	0.81	1	0	0.2	0.8	1	0	0.69	0.31	0.94	0.06
10	0.2	0.8	1	0	0.2	0.8	1	0	0.19	0.81	1	0	0.62	0.38	0.81	0.19
11	0.43	0.57	0.47	0.53	0.42	0.58	0.42	0.58	0.47	0.53	0.47	0.53	0.56	0.44	0.22	0.78
12	0.93	0.07	0.95	0.05	0.87	0.13	0.87	0.13	0.86	0.14	0.86	0.14	0.68	0.32	0.45	0.55
13	0.06	0.94	0.89	0.11	0.07	0.93	0.99	0.01	0.08	0.92	1	0	0.96	0.04	0.93	0.07
14	0.06	0.94	0.89	0.11	0.08	0.92	0.99	0.01	0.09	0.91	1	0	0.86	0.14	0.82	0.18
15	0	1	0.9	0.1	0	1	0.87	0.13	0	1	0.85	0.15	0	1	0.44	0.56
16	0.44	0.56	1	0	0.44	0.56	1	0	0.44	0.56	1	0	0.54	0.46	0.89	0.11
17	0.45	0.55	1	0	0.43	0.57	0.9	0.1	0.41	0.59	0.7	0.3	0.39	0.61	0.97	0.03
18	0.09	0.91	0.95	0.05	0.11	0.89	0.97	0.03	0.12	0.88	0.9	0.1	0.41	0.59	0.91	0.09
19	0.62	0.38	0.97	0.03	0.57	0.43	0.52	0.48	0.58	0.42	0.39	0.61	0.73	0.27	0.88	0.12
20	0.6	0.4	1	0	0.58	0.42	1	0	0.58	0.42	1	0	0.77	0.23	0.88	0.12
