Game	Out	In	Left	Right
1	0.21	0.79	0.36	0.64
2       0.03    0.97    0.77    0.23
3       0.48    0.52    0.4     0.6
4       0.87    0.13    0.38    0.62
5       0       1       0.68    0.32
6       0.42    0.58    0.67    0.33
7       0.23    0.77    0.68    0.32
8       0.41    0.59    0.47    0.53
9       0.19    0.81    1       0
10      0.2     0.8     1       0
11      0.43    0.57    0.47    0.53
12      0.93    0.07    0.95    0.05
13      0.06    0.94    0.89    0.11
14      0.06    0.94    0.89    0.11
15      0       1       0.9     0.1
16      0.44    0.56    1       0
17      0.45    0.55    1       0
18      0.09    0.91    0.95    0.05
19      0.62    0.38    0.97    0.03
20      0.6     0.4     1       0
